소재지전화	소재지면적	소재지전체주소	도로명전체주소	사업장명	좌표정보(x)	좌표정보(y)
	71.39	전라북도 군산시 조촌동 2-37 103호	전라북도 군산시 궁포3로 12, 1층 103호 (조촌동)	빽다방 군산조촌디오션점	35.08596402539598	127.82226184017985
	42.19	서울특별시 송파구 가락동 10-13	서울특별시 송파구 중대로 197, 1층 103-1호 (가락동)	리조이스커피	35.369276893464225	129.68446705069158
	79.56	경기도 화성시 향남읍 행정리 453-7	경기도 화성시 향남읍 행정서로1길 19-18, 1층 일부	미드케이블커피(MIDTCOFFEE) 향남점	35.208975770034826	129.2244098899788
	65.86	경상남도 양산시 동면 석산리 711-2	경상남도 양산시 동면 석산3길 32, 1층	커피&유(Coffee&YOU)	36.96140827487398	127.03756525894985
	32.76	대전광역시 서구 탄방동 765 한우리아파트	대전광역시 서구 문정로90번길 60, 상가동 1층 101호 (탄방동, 한우리아파트)	위치커피	35.60612691383399	128.27903961351473
	31.16	광주광역시 북구 신용동 712 일취빌딩 1층 107호	광주광역시 북구 첨단연신로107번길 21, 일취빌딩 1층 107호 (신용동)	콩하우스	35.18520029516117	126.88592557388175
		경기도 군포시 당동 745-8 1층 103호	경기도 군포시 군포로539번길 4, 1층 103호 (당동)	감성커피 군포당동점	35.229859363204945	129.50255816490943
	533.79	경상북도 포항시 남구 동해면 입암리 657 3층	경상북도 포항시 남구 동해면 호미로 2941, 3층	호미로2941커피	37.300427760742885	127.91536049508639
	240.34	강원특별자치도 원주시 지정면 가곡리 1344-4	강원특별자치도 원주시 지정면 무릉로 43, 2층 201,202,203,204,205호	템플라도커피	35.972205431473654	129.5552240523173
	43.15	충청북도 충주시 주덕읍 삼청리 219	충청북도 충주시 주덕읍 창전길 220-1	희희커피(카페)	35.91297524175525	129.0561230620095
	53.36	전라남도 광양시 중동 1698-3 4층중1층일부	전라남도 광양시 중마로 334-1, 4층중1층일부 (중동)	카페달링 광양중마점	35.87206479475117	126.57113238836797
