디저트분류	음료분류	메뉴명	칼로리	메뉴소개	메뉴이미지
0		호두빵	250	고소한 호두의 풍미가 느껴지는 호두빵	0_hodu_bre
0		초코빵	250	달콤한 초코와 빵의 만남	0_cho_bre
0		단팥빵	250	옛날 맛 그대로! 추억의 단팥빵	0_dan_bre
0		생크림빵	250	부드러운 생크림이 느껴지는 생크림빵	0_sang_bre
0		크림빵	250	언제나 먹어도 맛있는 크림빵	0_cre_bre
0		피자빵	250	한끼 식사 대용으로 안성맞춤인 피자빵	0_piz_bre
0		치즈빵	250	단짠단짠의 최고봉 치즈빵	0_chee_bre
0		감자빵	250	포슬포슬 감자가 들어있는 감자빵	0_gam_bre
0		소보로빵	250	달달 고소 바삭, 소보로빵	0_so_bre
0		말차빵	250	쌉싸름하지만 달콤한 말차빵	0_mal_bre
0		팡도르	350	맛도 비주얼도 아주 맛있는 팡도르	0_pang_bre
0		만쥬	150	달콤한 앙금이 들어있는 만쥬	0_man_bre
0		고구마빵	150	달달한 고구마가 들어있는 고구마빵	0_go_bre
0		땅콩빵	350	고소함에 계속 손이 가는 땅콩 빵	0_ddang_bre
0		크루아상	150	달콤한 크루아상	0_cru_bre
0		찹쌀빵	150	쫀득쫀득한 찹쌀에 달콤한 팥이 들어있는 찹쌀빵	0_chap_bre
0		옥수수빵	150	옥수수 알갱이의 식감이 느껴지는 옥수수빵	0_ok_bre
0		소시지빵	350	탱글탱글 소시지와 담백함이 만난 소시지빵	0_sau_bre
0		식빵	350	누구가 부담없이 즐길 수 있는 식빵	0_sic_bre
0		소금빵	200	버터의 고소한 풍미를 짭짤한 소금을 통해 강조한 빵	0_saul_bre
1		커스터드푸딩	300	오리지널, 커스터드 푸딩	1_cu_pu
1		밀크푸딩	300	담백한 부드러움, 밀크푸딩	1_mil_pu
1		바나나푸딩	300	달콤한 그 맛! 바나나푸딩	1_bana_pu
1		초코푸딩	300	남녀노소 사랑하는 달달한 초코푸딩	1_co_pu
1		딸기푸딩	300	새콤하지만 부드럽고 싶어! 딸기푸딩	1_ddal_pu
1		녹차푸딩	300	달콤쌉쌀!환상의 밸런스, 녹차푸딩	1_nok_pu
1		커피푸딩	300	커피의 풍미가 한가득, 커피푸딩	1_coff_pu
1		옥수수푸딩	300	부담스럽지 않게 달콤한 옥수수 푸딩	1_ok_pu
1		말차푸딩	300	말차맛이 그대로! 부드러운 말차푸딩	1_mal_pu
1		얼그레이푸딩	300	달지만 않아서 좋은 얼그레이푸딩	1_ul_pu
1		당근푸딩	300	건강도 챙길 수 있는 당근 푸딩	1_dang_pu
1		망고푸딩	300	이국적인 맛을 느낄 수 있는 망고푸딩	1_mang_pu
1		땅콩푸딩	300	담백고소 땅콩 푸딩	1_ddang_pu
1		오트푸딩	300	한끼식사를 가볍게 하고 싶을 때, 오트푸딩	1_ot_pu
1		치즈푸딩	300	말랑말랑 쫀득쫀득 치즈푸딩	1_che_pu
1		복숭아푸딩	300	여름의 맛이 담긴 복숭아 푸딩	1_bok_pu
1		포도푸딩	300	상큼한 포도가 들어간 포도푸딩	1_grap_pu
1		멜론푸딩	300	부드럽게 달콤한 멜론 푸딩	1_mel_pu
1		모카푸딩	300	달달함과 풍미를 모두 담은 모카푸딩	1_mo_pu
1		크림푸딩	300	부드러운 크림푸딩	1_cre_pu
2		당근케이크	500	건강간식으로 좋은 당근케이크	2_dang_cak
2		초코케이크	400	남녀노소 사랑하는 달달한 초코케이크	2_cho_cak
2		레드벨벳케이크	500	고소한 치즈와 부드러운 빵을 함께 먹을 수 있는 레드벨벳케이크	2_red_cak
2		생크림케이크	400	부드러운 생크림이 느껴지는 생크림케이크	2_sang_cak
2		생딸기케이크	500	새콤달콤 생딸기케이크	2_sangddal_cak
2		초코딸기케이크	400	맛있는 초코딸기케이크	2_choddal_cak
2		티라미수케이크	500	크림과 어울리는 커피의 맛, 티라미수케이크	2_ti_cak
2		녹차케이크	400	달콤한 음료와 어울리는 녹차케이크	2_nok_cak
2		치즈케이크	500	입안에서 사르르 녹는 치즈케이크	2_chee_cak
2		고구마케이크	400	달달하고 부드러운 고구마케이크	2_go_cak
2		카라멜케이크	500	쫀쫀한 달콤한이 느껴지는 카라멜케이크	2_ca_cak
2		커스타드케이크	400	기본기에 충실한 달콤함, 커스타드 케이크	2_cus_cak
2		순우유케이크	500	담백하고 달콤한 순우유 케이크	2_sun_cak
2		블루베리케이크	400	새콤달콤 블루베리케이크	2_blu_cak
2		아몬드케이크	500	고소한 아몬드케이크	2_amon_cak
2		바스크치즈케이크	400	맛있는 바스크치즈케이크	2_bask_cak
2		딸기크림케이크	500	부드럽고 새콤달콤한 딸기크림케이크	2_ddalcre_cak
2		화이트초코케이크	400	맛있고 달콤한 화이트 초코케이크	2_whco_cak
2		모카케이크	500	깊은 풍미가 느껴지는 모카케이크	2_moca_cak
2		요거트케이크	400	새콤달콤한 요거트케이크	2_yo_cak
3		크림파이	650	부드러운 크림파이	3_cre_py
3		딸기파이	650	새콤한 딸기파이	3_ddal_py
3		초코파이	650	달콤한 초코파이	3_cho_py
3		애플파이	650	아이간식으로 안성맞춤인 애플파이	3_app_py
3		바나나파이	650	부드럽게 달콤한 바나나파이	3_bana_py
3		청포도파이	650	새콤하고 달콤한 청포도 파이	3_cung_py
3		생크림파이	650	부드러움이 그대로 담긴 생크림파이	3_sang_py
3		호두파이	650	고소함이 배로 느껴지는 호두파이	3_hodu_py
3		피칸파이	650	달콤한 피칸파이	3_pi_py
3		치즈파이	650	부드럽고 달콤한 치즈파이	3_che_py
3		크림치즈파이	650	새로움을 맛보고 싶다면, 크림치즈파이	3_creche_py
3		블루베리파이	650	남녀노소 좋아하는 블루베리파이	3_blu_py
3		티라미수파이	650	부담스럽지 않게 달콤한 티라미수파이	3_ti_py
3		펌킨파이	650	건강하게 달달하게 펌킨파이	3_pum_py
3		라임파이	650	새콤하게 달달하게 라임파이	3_ra_py
3		얼그레이파이	650	얼그레이의 맛을 느낄 수 있는 얼그레이파이	3_ul_py
3		허니파이	650	달콤한 허니파이	3_hon_py
3		화이트초코파이	650	화이트초코를 그대로 느낄 수 있는 화이트초코파이	3_whco_py
3		소보로파이	650	바삭 고소 소보로파이	3_so_py
3		에그파이	650	담백하고 맛있는 에그파이	3_egg_py
4		초코아이스크림	150	달콤한 초코아이스크림	4_cho_ice
4		딸기아이스크림	150	새콤한 딸기아이스크림	4_ddal_ice
4		바닐라아이스크림	150	부드러운 바닐라 아이스크림	4_va_ice
4		쿠앤크아이스크림	150	쿠키도 맛있는 쿠앤크 아이스크림	4_cnc_ice
4		메론아이스크림	150	새롭게 맛있는 메론 아이스크림	4_mel_ice
4		말차아이스크림	150	말차가 녹아있는 아이스크림	4_mal_ice
4		모히또아이스크림	150	시원하게 맛있는 모히또아이스크림	4_mohi_ice
4		얼그레이아이스크림	150	얼그레이의 맛을 느낄 수 있는 얼그레이아이스크림	4_ul_ice
4		포도아이스크림	150	상큼한 포도아이스크림	4_grap_ice
4		민트초코아이스크림	150	색다른 맛의 민트초코아이스크림	4_minco_ice
4		초코볼아이스크림	150	오독오독 맛있는 초코볼 아이스크림	4_coball_ice
4		레인보우아이스크림	150	눈도 입도 즐거운 레인보우 아이스크림	4_rain_ice
4		피칸아이스크림	150	고소함을 그대로, 피칸아이스크림	4_pi_ice
4		피스타치오아이스크림	150	일상에서 벗어나고 싶다면, 피스타치오아이스크림	4_pita_ice
4		쌀아이스크림	150	부드럽게 달콤한 쌀 아이스크림	4_ssal_ice
4		누텔라아이스크림	150	달달함이 두배로, 누텔라 아이스크림	4_nu_ice
4		카라멜아이스크림	150	쫀쫀하게 달달한 카라멜 아이스크림	4_ca_ice
4		팥아이스크림	150	옛날 그 단 맛, 팥아이스크림	4_pob_ice
4		체리아이스크림	150	체리의 맛이 느껴지는 체리아이스크림	4_che_ice
4		레몬아이스크림	150	입안에서 사르르 녹는 레몬아이스크림	4_le_ice
5		밀크초콜릿	150	부드러운 밀크초콜릿	5_milk_cho
5		솔트초콜릿	150	단짠단짠의 정석 솔트초콜릿	5_saul_cho
5		딸기초콜릿	150	딸기가 들어있는 딸기초콜릿	5_dark_cho
5		다크초콜릿	150	부담스럽지 않게 다크 초콜릿	5_dark_cho
5		피넛초콜릿	150	씹히는 맛이 있는 피넛 초콜릿	5_pea_cho
5		요거트초콜릿	150	새콤하게 달콤하게 요거트 초콜릿	5_yo_cho
5		라즈베리초콜릿	150	진한 맛의 라즈베리 초콜릿	5_ras_cho
5		바나나초콜릿	150	부드럽게 달콤한 바나나초콜릿	5_bana_cho
5		체리초콜릿	150	체리의 맛이 느껴지는 체리초콜릿	5_che_cho
5		얼그레이초콜릿	150	질리지 않는 맛의 얼그레이 초콜릿	5_ul_cho
5		화이트초콜릿	150	달콤한 화이트초콜릿	5_wha_cho
5		커피초콜릿	150	달달한 커피의 맛, 커피 초콜릿	5_cnc_cho
5		블루베리초콜릿	150	새콤달콤 블루베리 초콜릿	5_blu_cho
5		한라봉초콜릿	150	귤보다 더 상큼한 한라봉 초콜릿	5_han_cho
5		쿠앤크초콜릿	150	쿠키도 맛있는 쿠앤크초콜릿	5_cnc_cho
5		호두초콜릿	150	고소한 호두초콜릿	5_ho_cho
5		아몬드초콜릿	150	오독오독 맛있는 아몬드초콜릿	5_amon_cho
5		트러플초콜릿	150	고급지게 달콤한 트러플초콜릿	5_tru_cho
5		생초콜릿	150	쫀득쫀득 생초콜릿	5_sang_cho
5		허니밀크초콜릿	150	달콤하게 담백한 허니밀크초콜릿	5_honmil_cho
6		초코쿠키	450	달콤한 초코가 가득 들어있는 초코쿠키	6_cho_coo
6		딸기쿠키	450	새콤달콤 딸기쿠키	6_ddal_coo
6		녹차쿠키	450	부담스럽지 않게 달콤한 녹차쿠키	6_nok_coo
6		레드벨벳쿠키	450	크림치즈와 환상궁합! 레드벨벳쿠키	6_red_coo
6		솔트카라멜쿠키	450	단짠단짠 질리지않는 솔트카라멜 쿠키	6_saulca_coo
6		치즈쿠키	450	부드럽고 맛있는 치즈쿠키	6_che_coo
6		화이트초코쿠키	450	달콤한 화이트초코쿠키	6_whco_coo
6		아몬드쿠키	450	고소하고 달콤한 아몬드쿠키	6_amon_coo
6		코코넛쿠키	450	이색적인 맛, 코코넛이 들어있는 쿠키	6_coco_coo
6		더블초코쿠키	450	달콤하게 맛있는 더블초코쿠기	6_douco_coo
6		퍼지쿠키	450	쫀득하게 달콤한 퍼지쿠키	6_fu_coo
6		크렌베리쿠키	450	부담스럽지않게 달콤한 크렌베리쿠키	6_cren_coo
6		피넛버터쿠키	450	고소하고 부드러운 피넛버터쿠키	6_peabut_coo
6		오트밀쿠키	450	오트밀이 통으로 들어있는 오트밀쿠키	6_ot_coo
6		마카다미아쿠키	450	누구나 즐길 수 있는 마카다미아쿠키	6_maca_coo
6		검은깨쿠키	450	고소하고 건강한 검은깨쿠키	6_gae_coo
6		단호박쿠키	450	건강간식으로 좋은 단호박쿠키	6_dan_coo
6		콘사브레쿠키	450	옥수수맛이 느껴지는 부드러운 콘사브레쿠키	6_sab_coo
6		딸기타르트쿠키	450	새콤달콤한 딸기타르트쿠키	6_ddalta_coo
6		커피아몬드쿠키	450	깊은 커피와 고속한 아몬드맛이 느껴지는 커피아몬드쿠키	6_coffamon_coo
