매장ID	메뉴ID	아이스분류	메뉴타입ID	가격	매장메뉴명	매장메뉴칼로리	매장메뉴소개
2	9	0	0	4200	고흥유자망고 스무디	210	메가MGC커피의 여름시즌 인기 음료인 망고스무디를 상큼한 고흥유자와 블렌딩하여 새콤달콤 시원하게 즐길 수 있는 여름 한정 메뉴
2	8	0	0	4200	나주 플럼코트 스무디	263	여름 제철 과일인 달콤한 자두와 새콤한 살구의 과즙을 동시에 느낄 수 있는 플럼코트로 만든 여름 한정 메뉴
2	13	0	0	5300	코코넛 커피 스무디	746	바삭하고 고소한 코코넛 칩을 올리고 쌉싸름한 커피와 달콤한 코코넛이 조화로운 스무디
2	14	0	1	5000	수박 화채 스무디	296	달달하고 청량한 수박 스무디 위로 다채로운 과일을 올려낸 수박 화채 스무디
2	6	0	0	4500	스트로베리 치즈 홀릭	502	상큼한 딸기 요거트 스무디 위에 고급스런 맛의 치즈케이크가 듬뿍 올라가 먹는 재미를 배가한 스무디.
2	7	0	0	3900	플레인 요거트 스무디	516	더 시원하게 요거트의 새콤달콤한 맛을 오롯이 만끽할 수 있는 스무디.
2	8	0	0	3900	딸기요거트 스무디	401	요거트의 상큼함과 딸기의 상큼함을 상냥하게 어우른 상큼 스무디.
2	9	0	0	3900	망고 요거트 스무디	374	열대과일 망고의 진한 단 맛과 산뜻한 요거트의 하모니가 인상적인 스무디.
2	2	0	1	4500	딸기크림 퐁 파르페	479	달콤한 딸기 요거트 스무디에 바삭바삭한 허니 퐁시리얼, 이탈리아 과자 보노미 글라사떼와 아이스크림을 올려 낸 파르페
2	3	0	1	4500	오레오초코 퐁 파르페	675	진한 초코 스무디에 바삭바삭한 허니 퐁시리얼, 리얼 오레오와 아이스크림을 올려 낸 파르페
2	2	0	1	3900	딸기 퐁 크러쉬	536	바삭하고 달달한 퐁에 상큼한 딸기와 부드러운 우유, 얼음을 함께 블렌딩해 시원하게 즐기는 프라페.
2	1	0	1	3900	바나나 퐁 크러쉬	593	바삭하고 달달한 퐁에 부드러운 바나나와 우유, 얼음을 함께 블렌딩해 부드럽고 시원하게 즐기는 프라페.
2	0	0	1	4000	초코허니 퐁 크러쉬	506	리얼 벌꿀이 들어가 더 달콤한 퍼프허니 시리얼과 부드럽게 달달한 초코가 함께 만드는 즐거운 맛의 프라페.
2	1	0	1	4000	슈크림 허니 퐁 크러쉬	568	바닐라빈 향을 머금은 부드러운 슈크림과 리얼 벌꿀이 들어간 퍼프허니 시리얼을 시원하게 즐기는 프라페.
2	1	0	1	3900	플레인 퐁 크러쉬	468	우유에 죠리퐁 씨리얼이 믹싱 된 얼음을 갈아 만든 시원한 프라페음료
2	16	0	0	3900	리얼 초코 프라페	651	진한 초코소스와 부드러운 바닐라향의 만남으로 질리지 않는 달콤함을 완성한 프라페.
2	17	0	0	3900	딸기 쿠키 프라페	564	부드러운 바닐라와 달달한 딸기, 바삭한 오레오 쿠키가 달콤한 하모니를 선물하는 프라페.
2	17	0	0	3900	스모어 블랙쿠키 프라페	596	진한 초코스무디에 바삭한 쿠키를 넣어 퐁신퐁신한 마시멜로우 잼과 함께 달콤하게 즐기는 스무디
2	18	0	0	3900	쿠키 프라페 640	바삭하고 달콤한 오레오와 고소한 우유, 부드러운 바닐라향의 조화를 느낄 수 있는 프라페.
2	37	0	0	3900	녹차 프라페	571	향긋한 녹차 위에 우유와 휘핑크림을 더해 더 부드럽게 즐길 수 있는 프라페.
