menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
7	0	0	4000	패션후르츠 스무디	327	패션후르츠가 듬뿍 들어가 상콤달콤한 스무디	p_pf_su
9	0	0	4000	망고 패션 스무디	415	패션후르츠가 듬뿍 들어가 상콤달콤한 스무디	p_manpf_su
7	0	1	4000	삼라봉 요거트 스무디	447	제주의 한라봉, 오렌지, 감귤의 상큼함이 달콤하고 부드러운 요거트와 만나 매력이 두 배로!	p_samyo_su
10	0	0	4000	블루베리 요거트 스무디	484	블루베리와 요거트가 만나 새콤달콤 스무디로!	p_bluyo_su
7	0	0	4000	플레인 요거트 스무디	494	달콤 부드러운 플레인 요거트스무디	p_plyo_su
8	0	0	4000	딸기 요거트 스무디	448	부드럽고 새콤달콤한 딸기요거트스무디	p_stryo_su
27	0	0	3500	바나나 밀크 쉐이크	380	진하고 달콤한 바나나맛이 부드럽게 느껴지는 밀크쉐이크	p_banmil_sk
29	0	0	3000	아이스크러시 파인애플	384	잘게 부서진 얼음으로 더욱 시원하게 즐기는 파인애플맛 음료	p_ispap_sk
27	0	0	3000	아이스크러시 오렌지	441	잘게 부서진 얼음으로 더욱 시원하게 즐기는 오렌지맛 음료	p_isora_sk
27	0	0	3000	아이스크러시 멜론	349	잘게 부서진 얼음으로 더욱 시원하게 즐기는 멜론맛 음료	p_ismel_sk
27	0	0	3000	아이스크러시 콜라	448	잘게 부서진 얼음으로 더욱 시원하게 즐기는 콜라맛 음료	p_iscol_sk
27	0	0	3000	밀크쉐이크	535	시원하고 달콤한 밀크쉐이크	p_mil_sk
36	0	0	3500	바나나 커피 쉐이크	380	진한 바나나맛이 느껴지는 바나나밀크쉐이크에 샷이 추가된 커피쉐이크	p_bancof_sk
36	0	1	3000	원조 빽스치노	578	원조커피의 시원한 변신~! 매력만점 커피 빽스치노	p_psch_sk
28	0	0	3500	딸기 바나나 빽스치노	502	상큼한 딸기와 달달한 바나나의 완전 시원한 만남!	p_strban_sk
18	0	0	3500	초코 바나나 빽스치노	577	달콤한 초코와 달달한 바나나의 완전 시원한 만남	p_choban_sk
28	0	0	3500	딸기 빽스치노	480	상큼한 국산딸기와 우유가 블렌딩된 완전딸기 빽스치노	p_str_sk
37	0	0	3500	녹차 빽스치노	548	100% 국내산 녹차를 사용하여 부드럽고 진한 맛의 빽스치노!	p_gree_sk
21	0	0	3500	민트 초코 빽스치노	602	초코칩으로 더한 깊은 초콜릿의 맛과 민트의 상쾌함이 어우러진 진한 민트초코 빽스치노	p_mincho_sk
17	0	0	3500	쿠키 크런키 빽스치노	768	달콤한 쿠키 크런치가 듬뿍 들어간 빽스치노	p_ckck_sk
18	0	0	3500	초코 빽스치노	520	초콜릿을 함께 블렌딩하여 더욱 진한 맛의 빽스치노	p_cho_sk
26	0	0	4500	피스타치오 빽스치노	535	고소한 피스타치오와 진한 카카오닙스의 만남 !	p_pis_sk
27	0	1	3500	퐁당치노(바닐라)	496	빽다방 대표 시그니처 메뉴에 아낌없이 퐁당!	p_ponvan_sk
36	0	1	3500	퐁당치노(원조커피)	483	빽다방 대표 시그니처 메뉴에 아낌없이 퐁당!	p_poncaf_sk
38	0	1	3500	퐁당치노(미숫가루)	613	빽다방 대표 시그니처 메뉴에 아낌없이 퐁당!	p_ponmi_sk
48	0	0	3500	블루캔디 소다	225	캔디처럼 달콤하고 하늘처럼 청량한 블루캔디소다	p_bluso_ade
54	0	0	4000	삼라봉 에이드	208	제주 한라봉, 오렌지, 감귤까지 3가지 매력을 한 잔에 담아 청량하게 즐기는 에이드	p_sam_ade
49	0	0	4000	체리콕콕	290	체리와 콜라가 만나 상큼함도 청량감도 UP!	p_cherrk_ade
54	0	0	3500	딸기 에이드	184	톡 쏘는 탄산수에 딸기 과육을 듬뿍 넣어 달콤한 청량감이 입안 가득!	p_str_ade
41	0	0	4000	레모네이드	246	레몬 과육이 듬뿍! 더욱 상큼하게 즐기는 레모네이드	p_lemo_ade
43	0	0	4000	청포도 에이드	234	청포도의 상큼함과 향긋한 꽃향기가 퍼지는 상큼 달콤한 에이드 음료	p_grap_ade
45	0	0	3000	깔라만시 에이드	215	상큼 짜릿하게! 톡톡튀는 식감을 느낄 수 있는 에이드 음료	p_cal_ade
41	0	0	4000	유자에이드	251	향긋한 유자에 청량감이 더해진 유자에이드	p_yuz_ade
42	0	0	4000	자몽 에이드	258	달콤 쌉쌀한 자몽에이드	p_graf_ade
46	0	0	4000	복숭아에이드	241	청량감 가득 달콤상큼 에이드!	p_pea_ade
54	0	0	3000	미초(석류) 에이드	141	과일(석류)발효초인 미초를 넣은 청량한 에이드 음료	p_mic_ade
58	1	0	3000	밀크티	313	얼그레이의 향긋함을 더한 부드러운 밀크티	p_mil_mt
58	0	0	3000	밀크티	353	얼그레이의 향긋함을 더한 부드러운 밀크티	p_imil_mt
62	0	0	4000	블랙 펄 밀크티	513	흑당 베이스의 풍미 있는 달콤함과 쫄깃한 타피오카 펄, 부드러운 생크림이 더해진 블랙펄밀크티	p_bspemil_mt
69	1	0	1500	더블에스프레소	22	브라질 원두 블렌딩으로 다크초콜릿, 카라멜, 견과류의 고소함을 느낄 수 있는 에스프레소	p_desp_caf
69	1	0	2000	에스프레소 콤프레또	151	달달하고 묵직한 바디감의 풍미 가득한 더블에스프레소	p_espcom_caf
73	1	0	1500	아메리카노	14	빽다방만의 맛과 향을 더한 100% 아라비카 로스팅 원두로 뽑아내 깊고 진한 맛의 앗!메리카노	p_ame_caf
73	0	0	2000	아메리카노	13	빽다방만의 맛과 향을 더한 100% 아라비카 로스팅 원두로 뽑아내 깊고 진한 맛의 앗!메리카노	p_iame_caf
73	1	1	2500	원조커피	471	달콤한 빽다방 대표메뉴, 믹스커피 종결자!	p_onej_caf
73	0	1	2500	원조커피	425	달콤한 빽다방 대표메뉴, 믹스커피 종결자!	p_ionej_caf
81	1	0	3700	달달 연유 라떼	491	달달하고 향긋한 베트남식 연유라떼	p_condlat_caf
81	0	0	3700	달달 연유 라떼	394	달달하고 향긋한 베트남식 연유라떼	p_icondlat_caf
83	1	1	3000	빽's 카페 라떼	253	진한 에스프레소와 우유가 어우려져 탄생한 부드러운 빽다방 라떼	p_pscaflat_caf
83	0	1	3000	빽's 카페 라떼	198	진한 에스프레소와 우유가 어우려져 탄생한 부드러운 빽다방 라떼	p_ipscaflat_caf
83	0	0	3500	블랙 펄 카페 라떼	429	흑당 베이스의 달콤함과 쫄깃한 펄, 에스프레소가 어우러진 블랙펄카페라떼	p_bpecaflat_caf
80	1	0	3700	바닐라 라떼	351	부드러운 우유와 달콤하고 은은한 바닐라가 조화를 이루는 음료	p_vanlat_caf
