브랜드	상호	가맹점수	신규개점	계약종료	계약해지	명의변경	가맹점 평균매출액	가맹점 면적(3.3㎡)당 평균매출액
언노운 커피&베이커리	(주)커피온리	0	0	0	0	0	0	0
핸드메이드	핸드메이드	4	2	0	0	0	0	0
헤일리스커피	헤일리스커피	4	0	0	0	0	0	0
카페아이엔지(CAFE ING)	(주)로로	0	0	0	0	0	0	0
디초콜릿커피앤드	(주)케이지할리스에프앤비	7	0	1	3	0	128,239	3,840
조선다방	내조국국밥(주)	0	0	0	0	0	0	0
제이엠티(JMT)	㈜네오플레너스	4	1	0	1	0	0	0
빈타이(BEAN TIE)	(유)빈타이컴퍼니	9	2	0	0	0	329,792	3,968
커피박스	(주)이앤더블유	2	2	0	0	0	0	0
어반그레이	(주)더원플랜	0	0	0	0	0	0	0
플레어비	(주)플레어비	5	1	0	2	1	247,599	6,391
쿼피집(Quoffee house)	쿼피집	1	1	0	0	0	0	0
해쉬커피	해쉬커피본점	6	6	0	0	0	122,849	15,356
롤스커피	(주)엘에이치지	2	2	0	0	0	0	0
라떼킹(Latteking)	블루빈컴퍼니(주)	8	0	0	1	0	89,658	4,684
바리스텔라	(주)카페베네	0	0	0	0	0	0	0
카페 꽃이피다	(주)꽃이피다	14	3	0	0	5	166,829	6,756
Moku816	(주)사실주의컴퍼니	2	0	0	0	0	0	0
아마떼	(주)한국창업경제연구소	18	4	0	9	0	115,695	2,574
다이브에스프레소클럽	(주)에스프레소	0	0	0	0	0	0	0
다이브에스프레소클럽	(주)에스프레소	0	0	0	0	0	0	0
다이브에스프레소클럽	(주)에스프레소	0	0	0	0	0	0	0
다이브에스프레소클럽	(주)에스프레소	0	0	0	0	0	0	0
1LiTER COFFEE(일리터커피)	(주)카페원플러스원	6	0	0	0	0	51,674	3,072
커피랑베어랑	㈜피앤에이토이즈컴퍼니	0	0	0	0	0	0	0
LQL터쿼이즈(TURQUOISE)	(주)빅브라더	1	0	0	0	0	0	0
심풀	심풀(simfull)	0	0	0	0	0	0	0
실버라운지(SILVER lounge)	카페은	0	0	0	0	0	0	0
천씨씨커피	(주)지민	59	30	4	0	0	208,645	8,878
내림	정글비해운대점	0	0	0	0	0	0	0
템포커피(tempo coffee)	(주)템포컴퍼니	0	0	0	0	0	0	0
바나타이거	㈜맥스원이링크	0	0	0	0	0	0	0
NiceCaffeinClub(NCC)	(주)드림위드에프씨	0	0	0	0	0	0	0
프레시턴트(FRESHTANT)	프레시턴트	0	0	0	0	0	0	0
땡큐베리머치	디저트땡큐	0	0	0	0	0	0	0
에쏘피리언스	에쏘피리언스	0	0	0	0	0	0	0
커피식구	(주)커피식구컴퍼니	0	0	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
그릭박스	요거디	0	0	0	0	0	0	0
그릭박스	요거디	0	0	0	0	0	0	0
빅딜	(주)거북이꿈	0	0	0	0	0	0	0
커피스토어	(주)디아이디코리아드링크	10	9	0	0	0	0	0
자이콥21	자이콥21	0	0	0	0	0	0	0
크로플로	(주)희라이프파트너스	4	4	0	0	0	155,670	11,321
아이빅쓰리커피앤드케이스(IBIG3 COFFEE&CASE)	아이빅쓰리커피앤드케이스	0	0	0	0	0	0	0
썬샤인1500	(주)바름	0	0	0	0	0	0	0
카페에뜨	(주)카페에뜨	0	0	0	0	0	0	0
카페코드	(주)웰메이커스	0	0	0	0	0	0	0
카페코드	(주)웰메이커스	0	0	0	0	0	0	0
카페코드	(주)웰메이커스	0	0	0	0	0	0	0
카페코드	(주)웰메이커스	0	0	0	0	0	0	0
벤티프레소	(주)정직한	16	15	0	0	1	170,239	11,778
유로스커피 로스터스	유로스컴퍼니	0	0	0	0	0	0	0
우주곰커피	우주곰커피제이엠에프	0	0	0	0	0	0	0
오투스커피	(주)담소	0	0	0	0	0	0	0
탐앤탐스커피(TOMNTOMS COFFEE)	(주)탐앤탐스	306	38	43	0	17	232,707	1,549
탐앤탐스커피(TOMNTOMS COFFEE)	(주)탐앤탐스	306	38	43	0	17	232,707	1,549
탐앤탐스커피(TOMNTOMS COFFEE)	(주)탐앤탐스	306	38	43	0	17	232,707	1,549
히든오아시스(HIDDENOASIS)	히든오아시스	0	0	0	0	0	0	0
패스트카페	(주)피투피시스템즈	23	23	0	0	0	46,885	5,817
어니스트(Honest)	어니스트로스터리카페	0	0	0	0	0	0	0
청담커피	청담커피	0	0	0	0	0	0	0
카페진리	(주)진리	3	3	0	0	0	213,479	3,186
3X-LARGE COFFEE	(주)정명에프앤비	6	6	0	0	0	86,090	2,870
바나프레소	(주)바나플에프엔비	0	0	0	0	0	0	0
까사부사노	까사부사노광안점	0	0	0	0	0	0	0
더벤티	(주)에스앤씨세인	756	269	14	3	77	224,390	18,314
무모한 커피	엔타스시	0	0	0	0	0	0	0
카페앤스터프	카페앤스터프체인본부	1	0	0	0	0	0	0
리무소커피	리무소커피	0	0	0	0	0	0	0
오티타	청솔로9가맹본부	0	0	0	0	0	0	0
청솔로9	청솔로9가맹본부	48	25	0	0	0	191,689	15,225
아이캔커피	두어컴퍼니	22	24	0	2	0	201,581	17,823
카페핑크뮬리	팔미엔	0	0	0	0	0	0	0
바리스타미스김	더제이푸드	0	0	0	0	0	0	0
