소재지전화	소재지면적	소재지전체주소	도로명전체주소	사업장명	좌표정보(x)	좌표정보(y)	매장구분ID	매장사진	법정동코드
	71.39	전라북도 군산시 조촌동 2-37 103호	전라북도 군산시 궁포3로 12, 1층 103호 (조촌동)	빽다방 군산조촌디오션점	35.976621433757245	126.73885157791179	5	f_paiks.jpg	4513013400.0
	42.19	서울특별시 송파구 가락동 10-13	서울특별시 송파구 중대로 197, 1층 103-1호 (가락동)	리조이스커피	37.499714706790265	127.12308936682979	0	0_danke_gae.jpg	1171010700.0
	79.56	경기도 화성시 향남읍 행정리 453-7	경기도 화성시 향남읍 행정서로1길 19-18, 1층 일부	미드케이블커피(MIDTCOFFEE) 향남점	37.126525369358305	126.91060799307225	0	0_danke_gae.jpg	4159025900.0
	65.86	경상남도 양산시 동면 석산리 711-2	경상남도 양산시 동면 석산3길 32, 1층	커피&유(Coffee&YOU)	35.314200863429434	129.02579918428418	0	0_oct_gae.jpg	4833031000.0
	32.76	대전광역시 서구 탄방동 765 한우리아파트	대전광역시 서구 문정로90번길 60, 상가동 1층 101호 (탄방동, 한우리아파트)	위치커피	36.344968927328125	127.38545852365866	808	0_tou_gae.jpg	3017010600.0
	31.16	광주광역시 북구 신용동 712 일취빌딩 1층 107호	광주광역시 북구 첨단연신로107번길 21, 일취빌딩 1층 107호 (신용동)	콩하우스	35.207338535719586	126.8588874835699	631	p_konghouse.jpg	2917013000.0
		경기도 군포시 당동 745-8 1층 103호	경기도 군포시 군포로539번길 4, 1층 103호 (당동)	감성커피 군포당동점	37.354290809813925	126.94331080430631	20	f_gamseong.jpg	4141010100.0
	533.79	경상북도 포항시 남구 동해면 입암리 657 3층	경상북도 포항시 남구 동해면 호미로 2941, 3층	호미로2941커피	36.00712837435467	129.4649845458141	0	0_romgok_gae.jpg	4711132000.0
	240.34	강원특별자치도 원주시 지정면 가곡리 1344-4	강원특별자치도 원주시 지정면 무릉로 43, 2층 201,202,203,204,205호	템플라도커피	37.37497450412423	127.87487438746349	0	0_offer_gae.jpg	5113033000.0
	43.15	충청북도 충주시 주덕읍 삼청리 219	충청북도 충주시 주덕읍 창전길 220-1	희희커피(카페)	36.97114218748329	127.78443914547047	0	0_noplan_gae.jpg	4313025000.0
	53.36	전라남도 광양시 중동 1698-3 4층중1층일부	전라남도 광양시 중마로 334-1, 4층중1층일부 (중동)	카페달링 광양중마점	34.94996088128078	127.69447735417504	185	f_darlin.jpg	4623010600.0
	109.2	대구광역시 북구 서변동 1762-8	대구광역시 북구 서변로 25, 1층 (서변동)	슈슈커피	35.917827750635496	128.59359187662173	0	0_key_gae.jpg	2723011500.0
	29.91	강원특별자치도 속초시 장사동 24-9	강원특별자치도 속초시 미시령로2983번길 88 (장사동)	탐앤탐스설악워터피아점	38.207932121576846	128.52621411003025	18	f_tom_toms.jpg	5121011300.0
	46.98	전라남도 나주시 빛가람동 189-1 펠리시티에스 1층 105호	전라남도 나주시 전력로 6, 펠리시티에스 1층 105호 (빛가람동)	하이오커피 나주혁신점	35.02200169963261	126.78249479916362	39	f_hio.jpg	4617013400.0
	49.43	경기도 오산시 오산동 540-8 1층	경기도 오산시 역광장로 92, 1층  (오산동)	미쎄쏘커피	37.14864294393534	127.06514760151394	0	0_onsil_gae.jpg	4137010100.0
	36.25	서울특별시 송파구 문정동 644 문정현대지식산업센터1-1	서울특별시 송파구 법원로11길 11, 문정현대지식산업센터1-1 1층 128호 (문정동)	라온커피			0	0_chan_gae.jpg	1171010800.0
	72.4	충청남도 예산군 삽교읍 신리 347-9 충남건축사회관	충청남도 예산군 삽교읍 수암산로 241, 충남건축사회관	나도커피(NADO COFFEE)	36.6840815279666	126.67120994976973	0	0_avelop_gae.jpg	4481025300.0
044 865 1983	85.44	세종특별자치시 새롬동 564 새뜸마을13단지 근린생활시설	세종특별자치시 새롬로 26, 새뜸마을13단지 근린생활시설 1층 B-137,138호 (새롬동)	하이로우커피스탠드	36.48792911057511	127.25278888293668	0	0_mile_gae.jpg	3611010800.0
	66.4	광주광역시 동구 지산동 212	광주광역시 동구 지호로104번길 19, 3층 (지산동)	지산커피	35.146635054755144	126.93757871450744	0	0_dangok_gae.jpg	2911011100.0
	34.01	부산광역시 동구 수정동 288-5 베스안하우스	부산광역시 동구 고관로 107-6, 1,2층 (수정동, 베스안하우스)	지니프레쉬 수정점	35.12864955159714	129.04302860991328	705	p_ginif.jpg	2617010200.0
	46.24	제주특별자치도 제주시 연동 256-16 성우빌	제주특별자치도 제주시 연동4길 28-4, 성우빌 1층 (연동)	커피비원	33.483555928163284	126.48460596515024	0	0_stum_gae.jpg	5011013700.0
	97.16	경기도 파주시 동패동 1933-2	경기도 파주시 동패로 71, 1층 (동패동)	칠일커피	37.709309517982334	126.73506641889303	254	f_il.jpg	4148011300.0
	26.53	경상북도 포항시 남구 해도동 484-13 1층	경상북도 포항시 남구 상공로 241, 1층 (해도동)	퐁,커피포항1호점	36.02332309315209	129.36918725627547	0	0_backstr_gae.jpg	4711110300.0
	51.26	경기도 남양주시 별내동 955-1 1층 일부	경기도 남양주시 두물로39번길 9, 1층 일부 (별내동)	리베릭커피	37.656795588500444	127.12565058399994	0	0_ndive_gae.jpg	4136011100.0
	46.64	세종특별자치시 집현동 726 지식산업센터	세종특별자치시 집현중앙7로 6, 지식산업센터 1층 A132호 (집현동)	울투라커피컴퍼니 집현점	36.4983835156399	127.32832881776302	0	0_okbyul_gae.jpg	3611011800.0
052 232 8687	65.48	울산광역시 동구 서부동 315-31	울산광역시 동구 방어진순환도로 1124-1, 1층 (서부동)	디디디알(D:D:D.r)캔&보틀커피 울산남목점	35.53954654897241	129.42320106731972	513	p_dddrcan.jpg	3117010800.0
	66.0	서울특별시 마포구 상암동 1680 상암근린상가	서울특별시 마포구 월드컵로42길 40, 상암근린상가 1층 108,109,110,111호 (상암동)	근린커피 상암	37.58026944107059	126.87781558325491	0	0_parc_gae.jpg	1144012700.0
	130.98	대구광역시 달서구 대곡동 1130-1	대구광역시 달서구 갈밭남로8길 11-1, 1층 (대곡동)	커피팀버 대곡점	35.79994322821278	128.53117521794812	795	0_roast_gae.jpg	2729012300.0
	42.9	경기도 성남시 분당구 삼평동 681 에이치스퀘어 엔동 1층 108호	경기도 성남시 분당구 판교역로 235, 에이치스퀘어 엔동 1층 108호 (삼평동)	그라츠커피랩(GRAZ COFFEE LAB)	37.40206688890582	127.10575654449971	707	p_graz.jpg	4113510900.0
	29.1	경기도 안산시 상록구 성포동 588-2 주공아파트 종합상가 101호	경기도 안산시 상록구 화랑로 514, 주공아파트 종합상가 101호 (성포동)	커피타기	37.3201481253096	126.84197551471051	0	0_dangok_gae.jpg	4127110800.0
	102.01	제주특별자치도 서귀포시 색달동 2508 아리아호텔	제주특별자치도 서귀포시 중문관광로 23-1, 아리아호텔 1층 (색달동)	호텔리어스커피(Hoteliers' Coffee)	33.25578979864782	126.41248969216495	0	0_mile_gae.jpg	5013011900.0
	39.52	경기도 포천시 소흘읍 초가팔리 338-4 1층	경기도 포천시 소흘읍 검바위길 72, 1층	나니언니커피	37.81981082437766	127.1437990169659	0	0_cream_gae.jpg	4165025000.0
	47.16	서울특별시 중랑구 상봉동 495-4	서울특별시 중랑구 신내로7가길 23, 1층 (상봉동)	커피쥬얼리	37.602355431189885	127.09171903265126	0	0_restto_gae.jpg	1126010200.0
	81.81	경기도 파주시 야당동 84-1 나동 1층	경기도 파주시 하우고개길 251, 나동 1층 (야당동)	커피쇼퍼(COFFEE SHOPPER)	37.71508651954145	126.76599133536784	0	0_oct_gae.jpg	4148010800.0
	28.71	대구광역시 중구 남산동 0757-0013	대구광역시 중구 중앙대로61길 15 (남산동)	모리스커피(morris coffee)	35.86012463596896	128.58816272534364	0	0_gong_gae.jpg	2711015600.0
	195.63	충청북도 청주시 상당구 서문동 67	충청북도 청주시 상당구 사직대로362번길 62, 3층 (서문동)	키만스커피	36.63399963623785	127.48452468788477	0	0_noplan_gae.jpg	4311110900.0
	61.0	서울특별시 서초구 양재동 13-14 1층	서울특별시 서초구 남부순환로350길 40, 1층 (양재동)	카페핸드메이드 양재점	37.48310053230822	127.03367505485944	246	f_handmade.jpg	1165010200.0
02  20390645	291.3	서울특별시 송파구 석촌동 255-1	서울특별시 송파구 가락로 78, 1층 102호,103호,104호,107호.108호 (석촌동)	투썸플레이스 송파헬리오시티점	37.50017258620513	127.10197834993876	3	f_twosome.jpg	1171010500.0
	48.54	서울특별시 동작구 대방동 379-1	서울특별시 동작구 대방동길 57, 1층 (대방동)	모코커피(moko coffee)	37.50313415437439	126.92240512519909	0	0_beyon_gae.jpg	1159010800.0
	42.75	대구광역시 달성군 현풍읍 중리 495-1 1층	대구광역시 달성군 현풍읍 테크노상업로2길 15-9, 1층	커피코모리(COFFEE KOMORI)	35.69243736713612	128.45248397373206	0	0_coasis_gae.jpg	2771026500.0
055 282 1517	25.65	경상남도 창원시 성산구 반림동 10 노블파크아파트 분구상가1동 1층 115-1호	경상남도 창원시 성산구 원이대로 449, 분구상가1동 1층 115-1호 (반림동, 노블파크아파트)	단디커피	35.23645338239261	128.66456048536443	473	p_dcoffee.jpg	4812312600.0
	66.0	서울특별시 중구 남창동 50-48	서울특별시 중구 남대문시장2가길 2, 1층 (남창동)	본커피	37.55937816483762	126.97384538631803	0	0_col_gae.jpg	1114011200.0
070 77774720	62.82	부산광역시 해운대구 우동 550-10	부산광역시 해운대구 구남로 8-2, 1~3층 (우동)	더벤티	35.162915659689105	129.15628201189875	6	f_the_venti.jpg	2635010500.0
	92.07	경기도 평택시 서정동 322-10 2층	경기도 평택시 정암로 12, 2층 (서정동)	향기담은호프커피	37.05685856486367	127.052192160892	0	0_soha_gae.jpg	4122010100.0
051 206 1666		부산광역시 강서구 명지동 3237-12 명호빌딩	부산광역시 강서구 명지오션시티4로 94, 명호빌딩 701호 (명지동)	브런치빈 부산명지점	35.08068154979693	128.90038023132715	221	f_brunch.jpg	2644010400.0
	66.91	인천광역시 서구 석남동 178-3	인천광역시 서구 염곡로311번길 18-1, 1층일부 (석남동)	데브커피	37.51260823274358	126.66353992671723	0	0_bon_gae.jpg	2826011000.0
	82.0	경기도 화성시 송산면 사강리 660-24	경기도 화성시 송산면 사강시장길43번길 20-1	88커피숍	37.213907367843944	126.73339482435416	0	0_hainna_gae.jpg	4159034000.0
	16.5	서울특별시 송파구 문정동 643-1 엠스테이트	서울특별시 송파구 법원로 114, 엠스테이트 제이동 지1층 제이-비144호 (문정동)	커피나인 문정			553	p_c_nine.jpg	1171010800.0
	16.0	충청남도 천안시 서북구 쌍용동 1296	충청남도 천안시 서북구 불당대로 273, 1층 102호 (쌍용동)	카페온유	36.80026770290642	127.12340909451105	235	f_onyou.jpg	4413310700.0
	137.87	경상남도 하동군 하동읍 화심리 1680	경상남도 하동군 하동읍 섬진강대로 2573	하동커피	35.09104117903722	127.71077960185691	0	0_12m_gae.jpg	4885025000.0
	81.9	전라북도 전주시 완산구 효자동3가 1541-1	전라북도 전주시 완산구 홍산남로 82, 주건축물제1동 1층 104호 (효자동3가)	카페달링전주직영1호점	35.815530947765126	127.10799314230853	185	f_darlin.jpg	4511114200.0
	47.0	서울특별시 광진구 화양동 5-20 1층	서울특별시 광진구 능동로13길 9, 1층 (화양동)	파란만잔 건대역점	37.54258179632616	127.06827247045999	243	f_paran.jpg	1121510700.0
	21.0	서울특별시 노원구 공릉동 592-26	서울특별시 노원구 동일로176길 27, 1층 (공릉동)	공덕리커피	37.62029648393064	127.07364165612398	0	0_gyuel_gae.jpg	1135010300.0
	38.91	서울특별시 송파구 방이동 34-2 현대드림밸리	서울특별시 송파구 오금로11길 11-8, 현대드림밸리 1층 109호 (방이동)	백억커피 방이점	37.51499505654254	127.10583710395107	507	p_10bill.jpg	1171011100.0
	78.0	전라북도 전주시 덕진구 인후동2가 1574-19 코웨이	전라북도 전주시 덕진구 백제대로 746, 코웨이 1층 일부호 (인후동2가)	왓커피백제대로점	35.84563498644973	127.14760598754333	183	f_what.jpg	4511310400.0
	95.64	경기도 김포시 장기동 2073-2	경기도 김포시 태장로 820-32, 2층 205,206호 (장기동)	동네커피	37.63864361433792	126.67470820574339	69	f_dongnae.jpg	4157010400.0
	31.2	경기도 김포시 양촌읍 양곡리 409-3 청암주택 D동 103호	경기도 김포시 양촌읍 양곡1로 32-14, 청암주택 D동 1층 103호	일조커피카페	37.653848190926816	126.62212353569379	0	0_milli_gae.jpg	4157025600.0
	171.58	경기도 김포시 장기동 1899-12	경기도 김포시 김포한강1로97번길 10-7, 1층 (장기동)	카페동네 김포장기점	37.64727127225537	126.66806039841498	121	f_c_dongnae.jpg	4157010400.0
	36.12	경상남도 창원시 마산회원구 내서읍 삼계리 507-6 102호	경상남도 창원시 마산회원구 내서읍 숲속로 20-3, 102호	크로플덕 오리아가씨 창원삼계점	35.22989004217091	128.49373534248363	700	p_crofdu.jpg	4812725000.0
	282.94	강원특별자치도 고성군 토성면 아야진리 182	강원특별자치도 고성군 토성면 아야진해변길 137	아야트커피	38.27483857836742	128.55061083785665	0	0_oneul_gae.jpg	5182033000.0
		전라남도 여수시 학동 11-9	전라남도 여수시 쌍봉로 55 (학동)	아아수혈 여수학동점	34.7667278841592	127.65901249677675	188	f_ahah.jpg	4613012800.0
	49.07	광주광역시 동구 서석동 91-25	광주광역시 동구 문화전당로26번길 18, 1층 (서석동)	커피마마 동구청점	35.14542214814497	126.91859269674042	30	f_mama.jpg	2911011800.0
	31.44	서울특별시 동대문구 제기동 1200	서울특별시 동대문구 정릉천동로 115, 1층 4호2호 (제기동)	해방커피	37.58253085229029	127.03278307184296	0	0_gaudi_gae.jpg	1123010300.0
	62.5	경상남도 진주시 충무공동 31-5 마루빌딩 1층 104호	경상남도 진주시 영천강로 171, 마루빌딩 1층 104호 (충무공동)	쉬즈베이글커피 진주혁신점(SHE'S BAGEL COFFEE)	35.178836156236635	128.13599817558654	0	0_qu_gae.jpg	4817013700.0
	35.89	경기도 성남시 분당구 정자동 166-1 정자역 엠코헤리츠 2단지 1층 B117호	경기도 성남시 분당구 정자일로 140, 정자역 엠코헤리츠 2단지 1층 B117호 (정자동)	그라츠커피랩(GRAZ COFFEE LAB)	37.36256083315967	127.10364477703051	707	p_graz.jpg	4113510300.0
	37.3	대전광역시 중구 문창동 30-11 1층	대전광역시 중구 문창로 121, 1층 (문창동)	커피향	36.32359982256466	127.42790515695114	0	0_homal_gae.jpg	3014010600.0
	381.66	경기도 화성시 정남면 보통리 514-1 1,2층 전부호	경기도 화성시 정남면 보통내길 140, 1,2층 전부호	투썸플레이스 보통리점	37.189762802036334	126.97009518750572	3	f_twosome.jpg	4159041000.0
	95.0	경기도 화성시 영천동 749-2 1	경기도 화성시 동탄치동천로2길 3-16, 1층 (영천동)	커피스미스드래프트 동탄중리점	37.203665509679844	127.12214796256583	805	0_oit_gae.jpg	4159013100.0
	33.72	서울특별시 서대문구 충정로3가 256	서울특별시 서대문구 충정로4길 6, 1~2층 (충정로3가)	램미커피(Lemme coffee)	37.56108519958677	126.9609724112267	0	0_cong_gae.jpg	1141010200.0
	93.58	대전광역시 유성구 지족동 980-8	대전광역시 유성구 지족로349번길 40-16, 지상1층 (지족동)	아이앤알커피로스터스(inr coffee roasters)	36.38735977133169	127.31348564657804	0	0_oct_gae.jpg	3020012000.0
	33.0	대구광역시 중구 대신동 1033 1층	대구광역시 중구 큰장로 98, 1층 (대신동)	오감토스트커피	35.86753757329483	128.57415611347406	0	0_oit_gae.jpg	2711015400.0
	42.9	충청남도 천안시 동남구 청당동 299-15 아이지타워	충청남도 천안시 동남구 광풍로 1822, 아이지타워 1층 106호 (청당동)	로뎀커피	36.78107891295284	127.14336387391653	0	0_oaat_gae.jpg	4413111100.0
	77.52	부산광역시 금정구 장전동 229-34	부산광역시 금정구 장전온천천로113번길 2, 1층 (장전동)	매화커피	35.235111538549724	129.0859159741956	0	0_regou_gae.jpg	2641010800.0
	102.0	서울특별시 강남구 신사동 551-28	서울특별시 강남구 논현로159길 44, 지상1층 (신사동)	몰타 아일랜드 Malta Island by Dalla F&B	37.52222859879868	127.02175544570065	135	f_malta.jpg	1168010700.0
	36.8	충청남도 천안시 서북구 성정동 682-1 주연테크컴퓨터	충청남도 천안시 서북구 백석로 257, 1층 102호 (성정동)	위티커피	36.818748921178226	127.1352705404868	0	0_noplan_gae.jpg	4413310200.0
	98.54	충청남도 천안시 동남구 신부동 459-10	충청남도 천안시 동남구 먹거리9길 21, 2층 (신부동)	매주리레코드커피바	36.817655814104576	127.15327732393337	0	0_meltdo_gae.jpg	4413111800.0
	41.3	부산광역시 연제구 연산동 2135-12	부산광역시 연제구 쌍미천로 9, 1층 (연산동)	아덴블랑제리 연산배산점	35.17459998502066	129.0892051763182	223	f_aden_blang.jpg	2647010200.0
03180396767	205.68	경기도 성남시 분당구 야탑동 355-3 금호프라자 1층102호	경기도 성남시 분당구 야탑로75번길 9, 금호프라자 1층 102호 (야탑동)	투썸플레이스 야탑NC점	37.410737572029056	127.12393917620393	3	f_twosome.jpg	4113510700.0
	47.99	부산광역시 해운대구 우동 1407 해운대두산위브더제니스	부산광역시 해운대구 마린시티2로 33, 104동 103호 (우동, 해운대두산위브더제니스)	스왈로우 커피	35.15662810995021	129.14218203915112	0	0_tam_gae.jpg	2635010500.0
	15.0	경상남도 양산시 덕계동 802-5 미진장여관	경상남도 양산시 웅상대로 704, 1층 (덕계동)	커피로드	35.36491909481467	129.14279939902056	0	0_theboy_gae.jpg	4833012000.0
	30.41	경기도 용인시 수지구 풍덕천동 712-3 수지프라자 104호	경기도 용인시 수지구 풍덕천로 127, 수지프라자 1층 104호 (풍덕천동)	투달러커피 수지구청점	37.32336629609826	127.09279447351051	0	0_milli_gae.jpg	4146510100.0
031 6473359	183.0	경기도 평택시 포승읍 도곡리 산 85-10	경기도 평택시 포승읍 포승향남로 258, 1층	엠엠커피(mmcoffee)			0	0_pyoeng_gae.jpg	4122025600.0
	54.44	서울특별시 종로구 누하동 17-2	서울특별시 종로구 자하문로7길 69-3, 1, 2층 (누하동)	아티클(article)	37.5802355388316	126.96588423153003	664	0_cong_gae.jpg	1111011000.0
033 5326969	11.04	강원특별자치도 동해시 평릉동 457-8	강원특별자치도 동해시 평원1길 98, 2층 (평릉동)	아이점프 동해점	37.53194270254518	129.1138497659064	156	f_jump.jpg	5117010200.0
	36.8	서울특별시 송파구 문정동 651 문정역테라타워	서울특별시 송파구 송파대로 167, 문정역테라타워 B동 1층 133호 (문정동)	커피콩포도			0	0_oneul_gae.jpg	1171010800.0
	37.66	대구광역시 달성군 구지면 창리 1449-5 1층	대구광역시 달성군 구지면 국가산단대로68길 12, 1층	크로플덕 오리아가씨 대구구지점	35.65884455893123	128.4151360558768	700	p_crofdu.jpg	2771038000.0
	54.4	서울특별시 동대문구 장안동 324-11	서울특별시 동대문구 답십리로69길 45, 1층 (장안동)	브루클린커피	37.57437213850293	127.0709616086118	0	0_rang_gae.jpg	1123010600.0
055 6333115	71.0	경상남도 거제시 상동동 1041 벽산e-솔렌스힐 1차	경상남도 거제시 상동5길 75-40, 401동 지1층 B106(일부)호 (상동동, 벽산e-솔렌스힐 1차)	커피사자	34.861486699153346	128.6295288393161	0	0_cong_gae.jpg	4831011000.0
	90.25	충청북도 음성군 금왕읍 금석리 231-43	충청북도 음성군 금왕읍 무극로 362	시티커피	36.99504786741621	127.5985292096993	0	0_g_gae.jpg	4377025300.0
033 553 7601	431.1	강원특별자치도 태백시 소도동 345	강원특별자치도 태백시 태백산로 4761, C동 4층 (소도동)	태백호텔 레스토랑&커피	37.13250128695796	128.95733375629877	0	0_112_gae.jpg	5119010700.0
	20.4	부산광역시 중구 영주동 23-12	부산광역시 중구 초량중로 2, 1층 (영주동)	커피한잔	35.11236259048544	129.03320473451024	0	0_teddy_gae.jpg	2611010100.0
02  69588891	38.5	서울특별시 강남구 삼성동 112-23	서울특별시 강남구 선릉로 570, 지상1층 (삼성동)	마그마커피(MAGMA COFFEE)	37.50941521550406	127.04156768572304	0	0_qooang_gae.jpg	1168010500.0
	52.59	전라북도 전주시 완산구 효자동1가 173-8 효자메디컬프라자	전라북도 전주시 완산구 백제대로 140, 1층 114호, 114-1호 (효자동1가)	앳커피 전주본점	35.80538759483207	127.12115249304043	0	0_salswet_gae.jpg	4511114000.0
	63.0	인천광역시 서구 마전동 1057-6 103호	인천광역시 서구 원당대로 673, 태한빌딩 103호 (마전동)	컴포즈커피 완정사거리점	37.593999862221274	126.67314424102531	4	f_compose.jpg	2826011300.0
	86.39	전라남도 나주시 빛가람동 186-1 게토333 나동 D101,D102호	전라남도 나주시 우정로 10, 게토333 나동 D101,D102호 (빛가람동)	크로스 커피(cross coffee)	35.02432979497407	126.7781501726881	0	0_duet_gae.jpg	4617013400.0
	25.0	서울특별시 광진구 구의동 60-59 지층우측	서울특별시 광진구 천호대로138길 24, 지층 (구의동)	딜리버리커피	37.54804975802028	127.08968845290427	0	0_oaat_gae.jpg	1121510300.0
	363.3	서울특별시 광진구 군자동 270 2동 1~2층	서울특별시 광진구 능동로 239-1, 2동 1~2층 (군자동)	보난자 커피 군자	37.55171245158439	127.07341443608964	0	0_comeno_gae.jpg	1121510900.0
	89.1	충청남도 아산시 배방읍 휴대리 9-2 1층 102호	충청남도 아산시 배방읍 휴대길 126, 1층 102호	오시우커피(OSIW COFFEE)	36.77408249266944	127.11553533320865	0	0_pyoeng_gae.jpg	4420025300.0
	36.88	인천광역시 서구 청라동 84-7 상가3동 122호	인천광역시 서구 청라한내로 131, 상가3동 122호 (청라동)	컴포즈커피청라시티프라디움점	37.53723233595712	126.62436669978788	4	f_compose.jpg	2826012200.0
	47.6	경상남도 거제시 고현동 1014-7	경상남도 거제시 중곡로3길 7, 1층 (고현동)	텐퍼센트커피 거제중곡점	34.89382348458339	128.62671558589867	21	f_10percent.jpg	4831010900.0
		경기도 군포시 산본동 74 수성드림빌2차 A동 1층 101호 일부호	경기도 군포시 고산로 732, A동 1층 101호 일부호 (산본동, 수성드림빌2차)	크로플덕 오리아가씨 산본금정점	37.37418349455884	126.9356926440311	700	p_crofdu.jpg	4141010400.0
	145.41	울산광역시 남구 무거동 626-6	울산광역시 남구 옥현로39번길 2, 1층 (무거동)	콜프로스터스울산대점	35.540628438728604	129.25729272911605	682	p_colfro.jpg	3114010100.0
	79.05	대구광역시 북구 고성동3가 102-5	대구광역시 북구 고성북로 21-1, 1층 (고성동3가)	운터커피(untercoffee)	35.88164784539052	128.58015788536628	0	0_goo_gae.jpg	2723010500.0
	97.2	강원특별자치도 강릉시 교동 162-220	강원특별자치도 강릉시 강릉대로194번길 7, 1층 (교동)	커피벌스데이	37.757773735148064	128.88978816363576	0	0_gaudi_gae.jpg	5115011000.0
	35.5	전라북도 전주시 덕진구 인후동1가 924-10	전라북도 전주시 덕진구 아중로 189, 1층 일부호 (인후동1가)	커피면회소앤솔리드도넛	35.827790079912845	127.16688746866166	0	0_puf_gae.jpg	4511310300.0
		경기도 군포시 금정동 916 힐스테이트 금정역 1층 1001호	경기도 군포시 엘에스로 143, 1층 1001호 (금정동, 힐스테이트 금정역)	텐퍼센트커피 금정역에이케이점	37.372322731104056	126.94196888694123	21	f_10percent.jpg	4141010500.0
