디저트분류	음료분류	메뉴명	칼로리	메뉴소개	메뉴이미지
0		호두빵	250	고소한 호두의 풍미가 느껴지는 호두빵	0_hodu_bre.png
0		초코빵	250	달콤한 초코와 빵의 만남	0_cho_bre.png
0		단팥빵	250	옛날 맛 그대로! 추억의 단팥빵	0_dan_bre.png
0		생크림빵	250	부드러운 생크림이 느껴지는 생크림빵	0_sang_bre.png
0		크림빵	250	언제나 먹어도 맛있는 크림빵	0_cre_bre.png
0		피자빵	250	한끼 식사 대용으로 안성맞춤인 피자빵	0_piz_bre.png
0		치즈빵	250	단짠단짠의 최고봉 치즈빵	0_chee_bre.png
0		감자빵	250	포슬포슬 감자가 들어있는 감자빵	0_gam_bre.png
0		소보로빵	250	달달 고소 바삭, 소보로빵	0_so_bre.png
0		말차빵	250	쌉싸름하지만 달콤한 말차빵	0_mal_bre.png
0		팡도르	350	맛도 비주얼도 아주 맛있는 팡도르	0_pang_bre.png
0		만쥬	150	달콤한 앙금이 들어있는 만쥬	0_man_bre.png
0		고구마빵	150	달달한 고구마가 들어있는 고구마빵	0_go_bre.png
0		땅콩빵	350	고소함에 계속 손이 가는 땅콩 빵	0_ddang_bre.png
0		크루아상	150	달콤한 크루아상	0_cru_bre.png
0		찹쌀빵	150	쫀득쫀득한 찹쌀에 달콤한 팥이 들어있는 찹쌀빵	0_chap_bre.png
0		옥수수빵	150	옥수수 알갱이의 식감이 느껴지는 옥수수빵	0_ok_bre.png
0		소시지빵	350	탱글탱글 소시지와 담백함이 만난 소시지빵	0_sau_bre.png
0		식빵	350	누구가 부담없이 즐길 수 있는 식빵	0_sic_bre.png
0		소금빵	200	버터의 고소한 풍미를 짭짤한 소금을 통해 강조한 빵	0_saul_bre.png
0		카스테라	300	폭신한 카스테라빵	0_carst_bre.png
0		슈	280	속이 크림으로 꽉 찬 달콤하고 맛있는 슈	0_su_bre.png
0		페스츄리	340	여러번 접었다 밀어 피면서 얇은 겹겹의 층이 형성되어 바삭한 제과	0_past_bre.png
0		햄 샌드위치	420	야채와 햄이 들어간 기본 샌드위치	0_sand_bre.png
0		허니브레드	380	풀먼 식빵에 꿀을 발라 구운 달콤한 빵	0_honey_bre.png
0		파운드케이크	330	모든 재료가 1파운드씩 들어갔다 해서 파운드 케이크	0_pound_bre.png
0		베이글	125	쫄깃한 베이글	0_bagrl_bre.png
0		도넛	320	기름에 튀겨 바삭하고 쫄깃한 도넛	0_donut_bre.png
0		꽈배기	310	기름에 튀겨 바삭하고 쫄깃한 꽈배기	0_kabae_bre.png
1		커스터드푸딩	300	오리지널, 커스터드 푸딩	1_cu_pu.png
1		밀크푸딩	300	담백한 부드러움, 밀크푸딩	1_mil_pu.png
1		바나나푸딩	300	달콤한 그 맛! 바나나푸딩	1_bana_pu.png
1		초코푸딩	300	남녀노소 사랑하는 달달한 초코푸딩	1_co_pu.png
1		딸기푸딩	300	새콤하지만 부드럽고 싶어! 딸기푸딩	1_ddal_pu.png
1		녹차푸딩	300	달콤쌉쌀!환상의 밸런스, 녹차푸딩	1_nok_pu.png
1		커피푸딩	300	커피의 풍미가 한가득, 커피푸딩	1_coff_pu.png
1		옥수수푸딩	300	부담스럽지 않게 달콤한 옥수수 푸딩	1_ok_pu.png
1		말차푸딩	300	말차맛이 그대로! 부드러운 말차푸딩	1_mal_pu.png
1		얼그레이푸딩	300	달지만 않아서 좋은 얼그레이푸딩	1_ul_pu.png
1		당근푸딩	300	건강도 챙길 수 있는 당근 푸딩	1_dang_pu.png
1		망고푸딩	300	이국적인 맛을 느낄 수 있는 망고푸딩	1_mang_pu.png
1		땅콩푸딩	300	담백고소 땅콩 푸딩	1_ddang_pu.png
1		오트푸딩	300	한끼식사를 가볍게 하고 싶을 때, 오트푸딩	1_ot_pu.png
1		치즈푸딩	300	말랑말랑 쫀득쫀득 치즈푸딩	1_che_pu.png
1		복숭아푸딩	300	여름의 맛이 담긴 복숭아 푸딩	1_bok_pu.png
1		포도푸딩	300	상큼한 포도가 들어간 포도푸딩	1_grap_pu.png
1		멜론푸딩	300	부드럽게 달콤한 멜론 푸딩	1_mel_pu.png
1		모카푸딩	300	달달함과 풍미를 모두 담은 모카푸딩	1_mo_pu.png
1		크림푸딩	300	부드러운 크림푸딩	1_cre_pu.png
2		당근케이크	500	건강간식으로 좋은 당근케이크	2_dang_cak.png
2		초코케이크	400	남녀노소 사랑하는 달달한 초코케이크	2_cho_cak.png
2		레드벨벳케이크	500	고소한 치즈와 부드러운 빵을 함께 먹을 수 있는 레드벨벳케이크	2_red_cak.png
2		생크림케이크	400	부드러운 생크림이 느껴지는 생크림케이크	2_sang_cak.png
2		생딸기케이크	500	새콤달콤 생딸기케이크	2_sangddal_cak.png
2		초코딸기케이크	400	맛있는 초코딸기케이크	2_choddal_cak.png
2		티라미수케이크	500	크림과 어울리는 커피의 맛, 티라미수케이크	2_ti_cak.png
2		녹차케이크	400	달콤한 음료와 어울리는 녹차케이크	2_nok_cak.png
2		치즈케이크	500	입안에서 사르르 녹는 치즈케이크	2_chee_cak.png
2		고구마케이크	400	달달하고 부드러운 고구마케이크	2_go_cak.png
2		카라멜케이크	500	쫀쫀한 달콤한이 느껴지는 카라멜케이크	2_ca_cak.png
2		커스타드케이크	400	기본기에 충실한 달콤함, 커스타드 케이크	2_cus_cak.png
2		순우유케이크	500	담백하고 달콤한 순우유 케이크	2_sun_cak.png
2		블루베리케이크	400	새콤달콤 블루베리케이크	2_blu_cak.png
2		아몬드케이크	500	고소한 아몬드케이크	2_amon_cak.png
2		바스크치즈케이크	400	맛있는 바스크치즈케이크	2_bask_cak.png
2		딸기크림케이크	500	부드럽고 새콤달콤한 딸기크림케이크	2_ddalcre_cak.png
2		화이트초코케이크	400	맛있고 달콤한 화이트 초코케이크	2_whco_cak.png
2		모카케이크	500	깊은 풍미가 느껴지는 모카케이크	2_moca_cak.png
2		요거트케이크	400	새콤달콤한 요거트케이크	2_yo_cak.png
2		가나슈 케이크	532	묵직한 가나슈가 필링된 케이크	2_gana_cak.png
2		크레이프 케이크	511	여러겹의 얇은 크레이프로 이루어진 케이크	2_crap_cak.png
2		과일 케이크	562	여러 종류의 과일이 올라간 케이크	2_frui_cak.png
2		슈가케이크	420	슈가 크래프트로 만들어져서 디자인이 좋다	2_suga_cak.png
2		레터링 케이크	410	글씨가 써져 있어서 특별하게 축하할 수 있는 케이크	2_reter_cak.png
2		무스케이크	524	대부분 크림으로 이루어진 케이크	2_musu_cak.png
3		크림파이	650	부드러운 크림파이	3_cre_py.png
3		딸기파이	650	새콤한 딸기파이	3_ddal_py.png
3		초코파이	650	달콤한 초코파이	3_cho_py.png
3		애플파이	650	아이간식으로 안성맞춤인 애플파이	3_app_py.png
3		바나나파이	650	부드럽게 달콤한 바나나파이	3_bana_py.png
3		청포도파이	650	새콤하고 달콤한 청포도 파이	3_cung_py.png
3		생크림파이	650	부드러움이 그대로 담긴 생크림파이	3_sang_py.png
3		호두파이	650	고소함이 배로 느껴지는 호두파이	3_hodu_py.png
3		피칸파이	650	달콤한 피칸파이	3_pi_py.png
3		치즈파이	650	부드럽고 달콤한 치즈파이	3_che_py.png
3		크림치즈파이	650	새로움을 맛보고 싶다면, 크림치즈파이	3_creche_py.png
3		블루베리파이	650	남녀노소 좋아하는 블루베리파이	3_blu_py.png
3		티라미수파이	650	부담스럽지 않게 달콤한 티라미수파이	3_ti_py.png
3		펌킨파이	650	건강하게 달달하게 펌킨파이	3_pum_py.png
3		라임파이	650	새콤하게 달달하게 라임파이	3_ra_py.png
3		얼그레이파이	650	얼그레이의 맛을 느낄 수 있는 얼그레이파이	3_ul_py.png
3		허니파이	650	달콤한 허니파이	3_hon_py.png
3		화이트초코파이	650	화이트초코를 그대로 느낄 수 있는 화이트초코파이	3_whco_py.png
3		소보로파이	650	바삭 고소 소보로파이	3_so_py.png
3		에그파이	650	담백하고 맛있는 에그파이	3_egg_py.png
3		미트파이	525	고기가 들어간 파이	3_meat_py.png
3		과일 타르트	489	과일로 장식 된 타르트	3_frui_py.png
4		초코아이스크림	150	달콤한 초코아이스크림	4_cho_ice.png
4		딸기아이스크림	150	새콤한 딸기아이스크림	4_ddal_ice.png
4		바닐라아이스크림	150	부드러운 바닐라 아이스크림	4_va_ice.png
4		쿠앤크아이스크림	150	쿠키도 맛있는 쿠앤크 아이스크림	4_cnc_ice.png
4		메론아이스크림	150	새롭게 맛있는 메론 아이스크림	4_mel_ice.png
4		말차아이스크림	150	말차가 녹아있는 아이스크림	4_mal_ice.png
4		모히또아이스크림	150	시원하게 맛있는 모히또아이스크림	4_mohi_ice.png
4		얼그레이아이스크림	150	얼그레이의 맛을 느낄 수 있는 얼그레이아이스크림	4_ul_ice.png
4		포도아이스크림	150	상큼한 포도아이스크림	4_grap_ice.png
4		민트초코아이스크림	150	색다른 맛의 민트초코아이스크림	4_minco_ice.png
4		초코볼아이스크림	150	오독오독 맛있는 초코볼 아이스크림	4_coball_ice.png
4		레인보우아이스크림	150	눈도 입도 즐거운 레인보우 아이스크림	4_rain_ice.png
4		피칸아이스크림	150	고소함을 그대로, 피칸아이스크림	4_pi_ice.png
4		피스타치오아이스크림	150	일상에서 벗어나고 싶다면, 피스타치오아이스크림	4_pita_ice.png
4		쌀아이스크림	150	부드럽게 달콤한 쌀 아이스크림	4_ssal_ice.png
4		누텔라아이스크림	150	달달함이 두배로, 누텔라 아이스크림	4_nu_ice.png
4		카라멜아이스크림	150	쫀쫀하게 달달한 카라멜 아이스크림	4_ca_ice.png
4		팥아이스크림	150	옛날 그 단 맛, 팥아이스크림	4_pob_ice.png
4		체리아이스크림	150	체리의 맛이 느껴지는 체리아이스크림	4_che_ice.png
4		레몬아이스크림	150	입안에서 사르르 녹는 레몬아이스크림	4_le_ice.png
