menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
9	0	0	4200	고흥유자망고 스무디	210	메가MGC커피의 여름시즌 인기 음료인 망고스무디를 상큼한 고흥유자와 블렌딩하여 새콤달콤 시원하게 즐길 수 있는 여름 한정 메뉴	m_gyuman_su.png
1	0	0	4200	나주 플럼코트 스무디	263	여름 제철 과일인 달콤한 자두와 새콤한 살구의 과즙을 동시에 느낄 수 있는 플럼코트로 만든 여름 한정 메뉴	m_nplc_su.png
7	0	0	5300	코코넛 커피 스무디	746	바삭하고 고소한 코코넛 칩을 올리고 쌉싸름한 커피와 달콤한 코코넛이 조화로운 스무디	m_cocaf_su.png
8	0	1	5000	수박 화채 스무디	296	달달하고 청량한 수박 스무디 위로 다채로운 과일을 올려낸 수박 화채 스무디	m_watmh_su.png
2	0	0	4500	스트로베리 치즈 홀릭	502	상큼한 딸기 요거트 스무디 위에 고급스런 맛의 치즈케이크가 듬뿍 올라가 먹는 재미를 배가한 스무디.	m_strche_su.png
1	0	0	3900	플레인 요거트 스무디	516	더 시원하게 요거트의 새콤달콤한 맛을 오롯이 만끽할 수 있는 스무디.	m_plyo_su.png
2	0	0	3900	딸기요거트 스무디	401	요거트의 상큼함과 딸기의 상큼함을 상냥하게 어우른 상큼 스무디.	m_stryo_su.png
9	0	0	3900	망고 요거트 스무디	374	열대과일 망고의 진한 단 맛과 산뜻한 요거트의 하모니가 인상적인 스무디.	m_manyo_su.png
2	0	1	4500	딸기크림 퐁 파르페	479	달콤한 딸기 요거트 스무디에 바삭바삭한 허니 퐁시리얼, 이탈리아 과자 보노미 글라사떼와 아이스크림을 올려 낸 파르페	m_strcpo_su.png
0	0	1	4500	오레오초코 퐁 파르페	675	진한 초코 스무디에 바삭바삭한 허니 퐁시리얼, 리얼 오레오와 아이스크림을 올려 낸 파르페	m_orocho_su.png
2	0	1	3900	딸기 퐁 크러쉬	536	바삭하고 달달한 퐁에 상큼한 딸기와 부드러운 우유, 얼음을 함께 블렌딩해 시원하게 즐기는 프라페.	m_strpo_su.png
1	0	1	3900	바나나 퐁 크러쉬	593	바삭하고 달달한 퐁에 부드러운 바나나와 우유, 얼음을 함께 블렌딩해 부드럽고 시원하게 즐기는 프라페.	m_banpo_su.png
0	0	1	4000	초코허니 퐁 크러쉬	506	리얼 벌꿀이 들어가 더 달콤한 퍼프허니 시리얼과 부드럽게 달달한 초코가 함께 만드는 즐거운 맛의 프라페.	m_chohop_su.png
1	0	1	4000	슈크림 허니 퐁 크러쉬	568	바닐라빈 향을 머금은 부드러운 슈크림과 리얼 벌꿀이 들어간 퍼프허니 시리얼을 시원하게 즐기는 프라페.	m_suhop_su.png
1	0	1	3900	플레인 퐁 크러쉬	468	우유에 죠리퐁 씨리얼이 믹싱 된 얼음을 갈아 만든 시원한 프라페음료	m_plap_su.png
11	0	0	3900	리얼 초코 프라페	651	진한 초코소스와 부드러운 바닐라향의 만남으로 질리지 않는 달콤함을 완성한 프라페.	m_rechop_sk.png
17	0	0	3900	딸기 쿠키 프라페	564	부드러운 바닐라와 달달한 딸기, 바삭한 오레오 쿠키가 달콤한 하모니를 선물하는 프라페.	m_strck_sk.png
11	0	0	3900	스모어 블랙쿠키 프라페	596	진한 초코스무디에 바삭한 쿠키를 넣어 퐁신퐁신한 마시멜로우 잼과 함께 달콤하게 즐기는 스무디	m_smbckp_sk.png
11	0	0	3900	쿠키 프라페	640	바삭하고 달콤한 오레오와 고소한 우유, 부드러운 바닐라향의 조화를 느낄 수 있는 프라페.	m_coki_sk.png
21	0	0	3900	녹차 프라페	571	향긋한 녹차 위에 우유와 휘핑크림을 더해 더 부드럽게 즐길 수 있는 프라페.	m_gree_sk.png
25	0	0	3900	커피 프라페	420	바삭한 쿠키와 부드러운 바닐라에 향긋한 에스프레소를 섞어 만든 힐링 프라페.	m_coff_sk.png
12	0	0	3900	민트 프라페	511	상쾌한 민트에 달콤하게 씹는 재미를 더한 초콜릿칩의 즐거운 하모니가 매력적인 프라페.	m_min_sk.png
37	0	0	3600	고흥 유자 하이볼 에이드	346	상큼한 고흥유자와 청량한 하이볼 맛 음료가 조화롭게 섞여 남도의 바다색을 느낄 수 있는 여름 한정 무알콜 에이드	m_gyuzh_ade.png
26	0	0	3600	보성 녹차레몬 콤부 에이드	49	현미발효시킨 콤부차에 보성 녹차와 상큼한 레몬을 더해 시원하고 부드러운 탄산을 느낄 수 있는 여름 한정 건강 메뉴	m_bgreele_ade.png
36	0	1	3800	유니콘 매직 에이드(블루)	275	섞으면 마법처럼 색이 변하는 재미에 라임의 청량함으로 입까지 즐거운 이색 에이드.	m_yunib_ade.png
36	0	1	3800	유니콘 매직 에이드(핑크)	219	섞으면 마법처럼 색이 변하는 재미에 레몬의 상큼함으로 입까지 즐거운 이색 에이드.	m_yunip_ade.png
26	0	1	3900	메가에이드	292	상큼한 레몬, 상쾌한 라임, 달콤쌉싸름한 자몽의 3색 맛을 한데 어우른 메가MGC커피 시그니처 에이드.	m_mega_ade.png
32	0	0	3800	라임 모히또	278	상큼한 라임과 달콤한 향기의 애플민트가 어우러져 상쾌함을 한잔에 가득 채운 모히또 음료.	m_laimo_ade.png
26	0	0	3500	레몬에이드	196	시트러스향 가득한 레몬의 상큼함과 톡쏘는 탄산의 상쾌함이 만난 청량 에이드.	m_lem_ade.png
26	0	0	3500	블루레몬에이드	225	레몬에이드의 상큼한 청량감에 블루큐라소의 진한 향미를 더한 에이드.	m_blulem_ade.png
27	0	0	3500	자몽에이드	203	자몽의 달콤쌉싸름한 맛과 탄산의 톡쏘는 목넘김이 어우러진 트로피컬 에이드.	m_graf_ade.png
28	0	0	3500	청포도 에이드	305	산뜻한 청포도와 상쾌한 탄산의 달달한 조화가 인상적인 에이드.	m_grap_ade.png
33	0	0	3300	체리콕	323	체리의 새콤함과 청량감을 동시에 즐길 수 있는 환상적인 에이드.	m_cherrk_ade.png
40	0	0	3800	흑당 버블 밀크티 라떼	330	타바론 얼그레이 홍차의 깊은 맛을 살린 일크티 라떼에 진한 흑당과 흑당 버블의 달콤함을 채운 음료.	m_bsbubm_mt.png
40	0	0	3500	흑당 밀크티 라떼	300	타바론 얼그레이 홍차의 깊은 맛을 살린 일크티 라떼에 진한 흑당의 달콤함을 채운 음료.	m_bslat_mt.png
39	1	0	3700	로열 밀크티 라떼	232	우유와 은은한 홍차가 어우러져 부드럽고 향긋한 한 모금을 완성한 라떼.	m_romil_mt.png
39	0	0	3700	로열 밀크티 라떼	254	우유와 은은한 홍차가 어우러져 부드럽고 향긋한 한 모금을 완성한 라떼.	m_iromil_mt.png
47	1	0	2000	에스프레소	7	메가MGC커피 원두의 향미를 온전히 즐길 수 있는 에스프레소	m_esp_caf.png
47	1	0	2200	에스프레소 도피오	15	더블샷으로 더욱 진하게 즐길 수 있는 에스프레소	m_espd_caf.png
96	1	0	2200	에스프레소 피에노	112	크림과 코코아 파우더를 올려 부드럽게 즐길 수 있는 디카페인 에스프레소	m_espp_caf.png
48	0	1	3000	메가리카노	16	깊고 진한 메가MGC커피 아메리카노를 '960ml' 더 큼직하게 즐길 수 있는 대용량 커피.	m_meame_caf.png
48	1	0	1500	아메리카노	12	메가MGC커피 블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.	m_ame_caf.png
48	0	0	2000	아메리카노	12	메가MGC커피 블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.	m_iame_caf.png
51	1	0	2700	꿀아메리카노	172	아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.	m_honame_caf.png
51	0	0	2700	꿀아메리카노	162	아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.	m_ihoame_caf.png
