그룹번호,검색_최소,검색_최대,클릭_최소,클릭_최대,장바구니_최소,장바구니_최대,주문_최소,주문_최대,평점_최소,평점_최대
0,121,130,121,129,121,128,121,127,121,123
1,124,133,124,132,124,131,124,130,124,126
2,127,136,127,135,127,134,127,133,127,129
3,130,139,130,138,130,137,130,136,130,132
4,133,142,133,141,133,140,133,139,133,135
5,136,145,136,144,136,143,136,142,136,138
6,139,148,139,147,139,146,139,145,139,141
7,142,151,142,150,142,149,142,148,142,144
8,145,154,145,153,145,152,145,151,145,147
9,148,157,148,156,148,155,148,154,148,150
10,151,160,151,159,151,158,151,157,151,153
11,154,163,154,162,154,161,154,160,154,156
12,157,166,157,165,157,164,157,163,157,159
13,160,169,160,168,160,167,160,166,160,162
14,163,172,163,171,163,170,163,169,163,165
15,166,175,166,174,166,173,166,172,166,168
16,169,178,169,177,169,176,169,175,169,171
17,172,181,172,180,172,179,172,178,172,174
18,175,184,175,183,175,182,175,181,175,177
19,178,187,178,186,178,185,178,184,178,180
20,181,190,181,189,181,188,181,187,181,183
21,184,193,184,192,184,191,184,190,184,186
22,187,196,187,195,187,194,187,193,187,189
23,190,199,190,198,190,197,190,196,190,192
24,193,202,193,201,193,200,193,199,193,195
25,196,205,196,204,196,203,196,202,196,198
26,199,208,199,207,199,206,199,205,199,201
27,202,211,202,210,202,209,202,208,202,204
28,205,214,205,213,205,212,205,211,205,207
29,208,217,208,216,208,215,208,214,208,210
30,211,220,211,219,211,218,211,217,211,213
31,214,223,214,222,214,221,214,220,214,216
32,217,226,217,225,217,224,217,223,217,219
33,220,229,220,228,220,227,220,226,220,222
34,223,232,223,231,223,230,223,229,223,225
35,226,235,226,234,226,233,226,232,226,228
36,229,238,229,237,229,236,229,235,229,231
37,232,241,232,240,232,239,232,238,232,234
38,235,244,235,243,235,242,235,241,235,237
39,238,247,238,246,238,245,238,244,238,240
40,241,250,241,249,241,248,241,247,241,243
41,244,253,244,252,244,251,244,250,244,246
42,247,256,247,255,247,254,247,253,247,249
43,250,259,250,258,250,257,250,256,250,252
44,253,262,253,261,253,260,253,259,253,255
45,256,265,256,264,256,263,256,262,256,258
46,259,268,259,267,259,266,259,265,259,261
47,262,271,262,270,262,269,262,268,262,264
48,264,273,265,273,265,272,265,271,265,267
49,266,275,267,275,268,275,268,274,268,270
50,268,277,269,277,270,277,271,277,271,273
51,270,279,271,279,272,279,273,279,274,276
52,272,281,273,281,274,281,275,281,277,279
53,274,283,275,283,276,283,277,283,280,282
54,276,285,277,285,278,285,279,285,283,285
